1		I		0		7559
2		P		120		3442
3		B		40		1865
4		B		80		2021
5		P		240		2282
6		B		160		1532
7		B		200		1853
8		P		360		2216
9		B		280		1515
10		B		320		1664
11		I		480		8506
12		B		400		1451
13		B		440		1473
14		P		600		2607
15		B		520		1821
16		B		560		1791
17		P		720		2545
18		B		640		1737
19		B		680		1833
20		P		840		2459
21		B		760		1806
22		B		800		1810
23		I		960		8578
24		B		880		1615
25		B		920		1653
26		P		1080		4513
27		B		1000		2151
28		B		1040		2026
29		P		1200		5236
30		B		1120		2262
31		B		1160		2620
32		P		1320		5536
33		B		1240		2540
34		B		1280		2546
35		I		1440		8596
36		B		1360		2569
37		B		1400		2536
38		P		1560		5702
39		B		1480		2529
40		B		1520		2645
41		P		1680		5676
42		B		1600		2800
43		B		1640		2886
44		P		1800		5788
45		B		1720		2778
46		B		1760		2788
47		I		1920		8646
48		B		1840		2593
49		B		1880		2668
50		P		2040		10147
51		B		1960		3406
52		B		2000		4805
53		P		2160		5629
54		B		2080		4297
55		B		2120		4439
56		P		2280		5598
57		B		2200		4294
58		B		2240		4302
59		I		2400		8045
60		B		2320		4053
61		B		2360		3753
62		P		2520		4915
63		B		2440		3860
64		B		2480		3877
65		P		2640		5020
66		B		2560		3440
67		B		2600		3375
68		P		2760		4623
69		B		2680		3201
70		B		2720		3115
71		I		2880		7949
72		B		2800		3015
73		B		2840		3508
74		P		3000		4409
75		B		2920		3174
76		B		2960		2916
77		P		3120		4662
78		B		3040		3277
79		B		3080		3239
80		P		3240		4528
81		B		3160		3176
82		B		3200		3223
83		I		3360		7668
84		B		3280		3015
85		B		3320		3041
86		P		3480		4292
87		B		3400		2804
88		B		3440		2712
89		P		3600		4397
90		B		3520		2839
91		B		3560		3193
92		P		3720		4420
93		B		3640		3479
94		B		3680		3349
95		I		3840		7635
96		B		3760		3209
97		B		3800		3160
98		P		3960		4502
99		B		3880		3267
100		B		3920		3223
101		P		4080		4636
102		B		4000		3223
103		B		4040		3129
104		P		4200		4772
105		B		4120		2962
106		B		4160		3135
107		I		4320		7949
108		B		4240		4235
109		B		4280		3861
110		P		4440		4604
111		B		4360		3443
112		B		4400		3346
113		P		4560		4559
114		B		4480		3456
115		B		4520		3351
116		P		4680		4857
117		B		4600		3623
118		B		4640		3700
119		I		4800		7647
120		B		4720		3544
121		B		4760		3419
122		P		4920		4358
123		B		4840		3172
124		B		4880		3345
125		P		5040		4366
126		B		4960		3188
127		B		5000		3128
128		P		5160		4592
129		B		5080		3186
130		B		5120		3176
131		I		5280		7618
132		B		5200		3232
133		B		5240		3434
134		P		5400		4847
135		B		5320		3456
136		B		5360		3382
137		P		5520		4348
138		B		5440		3843
139		B		5480		3540
140		P		5640		5006
141		B		5560		3337
142		B		5600		3321
143		I		5760		7615
144		B		5680		3316
145		B		5720		3126
146		P		5880		4748
147		B		5800		3073
148		B		5840		2953
149		P		6000		5089
150		B		5920		3312
151		B		5960		3425
152		P		6120		5228
153		B		6040		3360
154		B		6080		3479
155		I		6240		7576
156		B		6160		3748
157		B		6200		3636
158		P		6360		4785
159		B		6280		298
160		B		6320		3690
161		P		6480		4863
162		B		6400		306
163		B		6440		3686
164		P		6600		4671
165		B		6520		3562
166		B		6560		3449
167		I		6720		6975
168		B		6640		2942
169		B		6680		2825
170		P		6840		3973
171		B		6760		2885
172		B		6800		2732
173		P		6960		3782
174		B		6880		2781
175		B		6920		2742
176		P		7080		4021
177		B		7000		2504
178		B		7040		2554
179		I		7200		6949
180		B		7120		2760
181		B		7160		2753
182		P		7320		3813
183		B		7240		2715
184		B		7280		2849
185		P		7440		4492
186		B		7360		2864
187		B		7400		3019
188		P		7560		4202
189		B		7480		2830
190		B		7520		2662
191		I		7680		6721
192		B		7600		2863
193		B		7640		2999
194		P		7800		3945
195		B		7720		2883
196		B		7760		2851
197		P		7920		3960
198		B		7840		3016
199		B		7880		3140
200		P		8040		4409
201		B		7960		3223
202		B		8000		3123
203		I		8160		7978
204		B		8080		5582
205		B		8120		3956
206		P		8280		6500
207		B		8200		3125
208		B		8240		3284
209		P		8400		6444
210		B		8320		3149
211		B		8360		3361
212		P		8520		6470
213		B		8440		3228
214		B		8480		3212
215		I		8640		7756
216		B		8560		3131
217		B		8600		3195
218		P		8760		6168
219		B		8680		2975
220		B		8720		2980
221		P		8880		6367
222		B		8800		3212
223		B		8840		3307
224		P		9000		6294
225		B		8920		3120
226		B		8960		3202
227		I		9120		7726
228		B		9040		2979
229		B		9080		3064
230		P		9240		6118
231		B		9160		3043
232		B		9200		3096
233		P		9360		6145
234		B		9280		2993
235		B		9320		3208
236		P		9480		6159
237		B		9400		3178
238		B		9440		3074
239		I		9600		7555
240		B		9520		3084
241		B		9560		3175
242		P		9720		5977
243		B		9640		2978
244		B		9680		3033
245		P		9840		6190
246		B		9760		3189
247		B		9800		3388
248		P		9960		6271
249		B		9880		3474
250		B		9920		3370
251		I		10080		7532
252		B		10000		2744
253		B		10040		2840
254		P		10200		6110
255		B		10120		3302
256		B		10160		3191
257		P		10320		6125
258		B		10240		3115
259		B		10280		3213
260		P		10440		6116
261		B		10360		3070
262		B		10400		3172
263		I		10560		7494
264		B		10480		3224
265		B		10520		3273
266		P		10680		6019
267		B		10600		3023
268		B		10640		3094
269		P		10800		6012
270		B		10720		3051
271		B		10760		3184
272		P		10920		6061
273		B		10840		3126
274		B		10880		3168
275		I		11040		7552
276		B		10960		2940
277		B		11000		2999
278		P		11160		5830
279		B		11080		2615
280		B		11120		2845
281		P		11280		5787
282		B		11200		2922
283		B		11240		3077
284		P		11400		5672
285		B		11320		2869
286		B		11360		2777
287		I		11520		7506
288		B		11440		2566
289		B		11480		2830
290		P		11640		5690
291		B		11560		2841
292		B		11600		2876
293		P		11760		5590
294		B		11680		2636
295		B		11720		2814
296		P		11880		5619
297		B		11800		2848
298		B		11840		2821
299		I		12000		7344
300		B		11920		2609
301		B		11960		2578
302		P		12120		5422
303		B		12040		2431
304		B		12080		2635
305		P		12240		5497
306		B		12160		2821
307		B		12200		2851
308		P		12360		5387
309		B		12280		2780
310		B		12320		2807
311		I		12480		7254
312		B		12400		2370
313		B		12440		2532
314		P		12600		5470
315		B		12520		2777
316		B		12560		2803
317		P		12720		5214
318		B		12640		2408
319		B		12680		2614
320		P		12840		5323
321		B		12760		2545
322		B		12800		2733
323		I		12960		7060
324		B		12880		2338
325		B		12920		2472
326		P		13080		5144
327		B		13000		2389
328		B		13040		2531
329		P		13200		4968
330		B		13120		2385
331		B		13160		2569
332		P		13320		5114
333		B		13240		2516
334		B		13280		2633
335		I		13440		7016
336		B		13360		2452
337		B		13400		2481
338		P		13560		5297
339		B		13480		2415
340		B		13520		2476
341		P		13680		5087
342		B		13600		2506
343		B		13640		2731
344		P		13800		5133
345		B		13720		2572
346		B		13760		2536
347		I		13920		7095
348		B		13840		2331
349		B		13880		2504
350		P		14040		5014
351		B		13960		2487
352		B		14000		2475
353		P		14160		5214
354		B		14080		2598
355		B		14120		2774
356		P		14280		4686
357		B		14200		2362
358		B		14240		2334
359		I		14400		7083
360		B		14320		1720
361		B		14360		2086
362		P		14520		4699
363		B		14440		2266
364		B		14480		2309
365		P		14640		4286
366		B		14560		1746
367		B		14600		2044
368		P		14760		4529
369		B		14680		2149
370		B		14720		2226
371		I		14880		6892
372		B		14800		1755
373		B		14840		1665
374		P		15000		3948
375		B		14920		2053
376		B		14960		1879
377		P		15120		4265
378		B		15040		2107
379		B		15080		1979
380		P		15240		3674
381		B		15160		1729
382		B		15200		1814
383		I		15360		7030
384		B		15280		1804
385		B		15320		1745
386		P		15480		4019
387		B		15400		1997
388		B		15440		2039
389		P		15600		3728
390		B		15520		1953
391		B		15560		2113
392		P		15720		4022
393		B		15640		1810
394		B		15680		2131
395		I		15840		6915
396		B		15760		1722
397		B		15800		1817
398		P		15960		2296
399		B		15880		1640
400		B		15920		1610
401		P		16080		2085
402		B		16000		1657
403		B		16040		1759
404		P		16200		2312
405		B		16120		1849
406		B		16160		1633
407		I		16320		6937
408		B		16240		1511
409		B		16280		1626
410		P		16440		2285
411		B		16360		1913
412		B		16400		1699
413		P		16560		2345
414		B		16480		1622
415		B		16520		1996
416		P		16680		2314
417		B		16600		1563
418		B		16640		1678
419		I		16800		6954
420		B		16720		1571
421		B		16760		1492
422		P		16920		2274
423		B		16840		1604
424		B		16880		1749
425		P		17040		2303
426		B		16960		1604
427		B		17000		1713
428		P		17160		2223
429		B		17080		1897
430		B		17120		1549
431		I		17280		7002
432		B		17200		1372
433		B		17240		1405
434		P		17400		5752
435		B		17320		3109
436		B		17360		2970
437		P		17520		3176
438		B		17440		2474
439		B		17480		2396
440		P		17640		3146
441		B		17560		1947
442		B		17600		2016
443		I		17760		5436
444		B		17680		1677
445		B		17720		1657
446		P		17880		2595
447		B		17800		1960
448		B		17840		1789
449		P		18000		2546
450		B		17920		1838
451		B		17960		1998
452		P		18120		2530
453		B		18040		1822
454		B		18080		1947
455		I		18240		5541
456		B		18160		1941
457		B		18200		1948
458		P		18360		2924
459		B		18280		2154
460		B		18320		2012
461		P		18480		3159
462		B		18400		1999
